route_order,station_name,station_kind,ref,provided_lat,provided_lon,rail_snapped_lat,rail_snapped_lon,provided_to_rail_offset_m,anchor_to_rail_offset_m,cumulative_km,stop_duration_s,osm_node_id
1,Delhi Cantt,primary,DEC,28.5883,77.1405,28.6142432,77.1178222,3636.4,351.8,0.000,0,915248694
2,Naraina Vihar,intermediate,NRVR,,,28.6392793,77.1392506,,252.7,3.484,0,
3,Kirti Nagar,intermediate,KRTN,,,28.6471929,77.1463572,,81.7,4.618,0,
4,Patel Nagar,intermediate,PTNR,,,28.6599185,77.1568159,,18.4,6.365,0,
5,Dayabasti,intermediate,DBSI,,,28.6667276,77.1712133,,43.9,7.981,0,
6,Vivekanand Puri,intermediate,VVKP,,,28.6641841,77.1837219,,33.3,9.238,0,
7,Delhi Sarai Rohilla,intermediate,DEE,,,28.6638075,77.1855499,,120.9,9.422,0,
8,Delhi Kishanganj,intermediate,DKZ,,,28.6628334,77.1978582,,11.0,10.692,0,
9,Subzi Mandi,primary,SZM,28.6729,77.1988,28.6682564,77.2002817,536.2,34.7,12.193,0,913080994
10,Delhi Azadpur,intermediate,DAZ,,,28.7034402,77.1769734,,11.3,16.790,0,
11,Adarsh Nagar,intermediate,ANDI,,,28.7142121,77.1670233,,33.3,18.331,0,
12,Badli,primary,BHD,28.7461,77.1389,28.7453519,77.1381975,107.8,150.4,22.791,0,920979469
13,Khera Kalan,intermediate,KHKN,,,28.7695794,77.1157071,,19.4,26.264,0,
14,Holambi Kalan,intermediate,HUK,,,28.8015079,77.1022395,,25.0,30.069,0,
15,Narela,primary,NUR,28.8515,77.092,28.8464534,77.0848129,897.2,82.8,35.354,0,3003239684
16,Barota,intermediate,RDDE,,,28.9039968,77.0587957,,26.3,42.247,0,
17,Harana Kalan,intermediate,HNN,,,28.9449336,77.0386757,,27.9,47.203,0,
18,Sonipat Junction,primary,SNP,28.9931,77.0151,28.9893723,77.0164444,434.6,83.9,52.598,0,6343503567
19,Sandal Kalan,intermediate,SLKN,,,29.0634040,77.0125788,,21.9,61.033,0,
20,Rajlu Garhi,intermediate,RUG,,,29.0907815,77.0119286,,21.2,64.078,0,
21,Ganaur,primary,GNU,29.1376,77.0035,29.1314860,77.0108467,985.6,23.9,68.605,0,2664218902
22,Bhodwal Majri,intermediate,BDMJ,,,29.1852103,77.0081850,,22.8,74.587,0,
23,Samalkha,primary,SMK,29.2355,77.012,29.2415160,77.0030663,1094.9,21.6,80.868,0,2664222312
24,Diwana,intermediate,DWNA,,,29.3180130,76.9799610,,20.0,89.717,0,
25,Panipat Junction,primary,PNP,29.3909,76.9635,29.3909986,76.9637041,22.6,83.1,98.071,45,2642706432
26,Babarpur,intermediate,BBDE,,,29.4499978,76.9663914,,22.1,104.643,0,
27,Kohand,intermediate,KFU,,,29.4956351,76.9683401,,24.7,109.732,0,
28,Gharaunda,intermediate,GRA,,,29.5408768,76.9651781,,19.3,114.779,0,
29,Bazida Jatan,intermediate,BZJT,,,29.6134123,76.9652245,,26.3,122.844,0,
30,Karnal,primary,KUN,29.6857,76.9905,29.6950751,76.9696015,2272.0,22.4,132.284,30,6343504196
31,Bhaini Khurd,intermediate,BZK,,,29.7520627,76.9557757,,24.9,139.067,0,
32,Taraori,intermediate,TRR,,,29.7978937,76.9382932,,27.4,144.439,0,
33,Nilokheri,intermediate,NLKR,,,29.8319090,76.9251815,,29.0,148.438,0,
34,Amin,intermediate,AMIN,,,29.9047758,76.8998821,,32.0,156.922,0,
35,Kurukshetra Junction,primary,KKDE,29.9695,76.8783,29.9702956,76.8519895,2536.0,55.5,165.547,20,2636631724
36,Dhoda Kheri,intermediate,DHKR,,,30.0185397,76.8422387,,16.7,171.031,0,
37,Dhirpur,intermediate,DPP,,,30.0664485,76.8442119,,22.2,176.417,0,
38,Dhola Mazra,intermediate,DHMZ,,,30.1154294,76.8536144,,21.4,181.938,0,
39,Shahbad Markanda,primary,SHDM,30.167,76.87,30.1656204,76.8614642,834.8,35.2,187.591,0,6343504204
40,Mohri,intermediate,MOY,,,30.2555876,76.8501737,,28.2,197.744,0,
41,Ambala Cantt Junction,primary,UMB,30.3782,76.7767,30.3368916,76.8297781,6858.2,182.7,207.266,90,1880740188
42,Dhulkot,intermediate,DKT,,,30.3961905,76.7881134,,34.1,215.432,0,
43,Lalru,intermediate,LLU,,,30.4797629,76.7942492,,18.2,225.579,0,
44,Dappar,primary,DHPR,30.53,76.84,30.5170691,76.8075710,3422.9,40.0,229.978,0,6346667007
45,Ghagghar,primary,GHG,30.5965,76.817,30.6104436,76.8480861,3354.9,24.9,241.062,0,6197859464
46,Chandigarh Junction,primary,CDG,30.7046,76.8013,30.6978343,76.8206559,1997.7,487.2,251.743,0,6346716098
