index,time_utc,latitude,longitude,cumulative_km,waypoint_type,station_name,recommended_speed_kmh,stop_duration_s,segment_name,curve_angle_deg,source
1,2026-05-14T00:30:00.000Z,28.6142432,77.1178222,0.000,station_start,Delhi Cantt,0.0,0,Delhi Cantt → Subzi Mandi,0.0,osm_node
2,2026-05-14T00:32:47.060Z,28.6159884,77.1193080,0.242,station_exit,,10.4,0,Delhi Cantt → Subzi Mandi,7.0,osm_node
3,2026-05-14T00:33:02.515Z,28.6163545,77.1195466,0.289,station_exit,,11.4,0,Delhi Cantt → Subzi Mandi,2.2,osm_node
4,2026-05-14T00:33:18.903Z,28.6167869,77.1198042,0.343,station_exit,,12.4,0,Delhi Cantt → Subzi Mandi,1.4,osm_node
5,2026-05-14T00:33:32.014Z,28.6171641,77.1200161,0.390,station_exit,,13.3,0,Delhi Cantt → Subzi Mandi,9.5,osm_node
6,2026-05-14T00:33:42.735Z,28.6174596,77.1202580,0.431,station_exit,,13.9,0,Delhi Cantt → Subzi Mandi,1.2,osm_node
7,2026-05-14T00:34:57.029Z,28.6198699,77.1223205,0.766,station_exit,,18.6,0,Delhi Cantt → Subzi Mandi,0.0,osm_node
8,2026-05-14T00:35:54.050Z,28.6221859,77.1243054,1.088,railway_geometry,,22.1,0,Delhi Cantt → Subzi Mandi,0.1,osm_node
9,2026-05-14T00:36:56.639Z,28.6252002,77.1268767,1.507,railway_geometry,,26.0,0,Delhi Cantt → Subzi Mandi,0.5,osm_node
10,2026-05-14T00:37:45.844Z,28.6278953,77.1292189,1.884,interpolation,,29.1,0,Delhi Cantt → Subzi Mandi,0.0,interpolation
11,2026-05-14T00:38:30.325Z,28.6305905,77.1315612,2.261,railway_geometry,,31.9,0,Delhi Cantt → Subzi Mandi,0.1,osm_node
12,2026-05-14T00:39:19.496Z,28.6338585,77.1343944,2.717,station_approach,,35.0,0,Delhi Cantt → Subzi Mandi,1.1,osm_node
13,2026-05-14T00:40:14.116Z,28.6377812,77.1379347,3.274,station_approach,,38.4,0,Delhi Cantt → Subzi Mandi,1.1,osm_node
14,2026-05-14T00:40:30.663Z,28.6390608,77.1390442,3.453,station_approach,,39.4,0,Delhi Cantt → Subzi Mandi,2.4,osm_node
15,2026-05-14T00:40:33.539Z,28.6392793,77.1392506,3.484,intermediate_station_pass,Naraina Vihar,39.6,0,Delhi Cantt → Subzi Mandi,0.0,station_projection
16,2026-05-14T00:40:36.646Z,28.6395165,77.1394746,3.518,station_exit,,39.8,0,Delhi Cantt → Subzi Mandi,3.3,osm_node
17,2026-05-14T00:40:41.240Z,28.6398521,77.1398302,3.569,station_exit,,40.1,0,Delhi Cantt → Subzi Mandi,7.1,osm_node
18,2026-05-14T00:40:44.385Z,28.6400549,77.1401058,3.604,station_exit,,40.3,0,Delhi Cantt → Subzi Mandi,1.9,osm_node
19,2026-05-14T00:40:48.899Z,28.6403358,77.1405148,3.655,station_exit,,40.6,0,Delhi Cantt → Subzi Mandi,3.0,osm_node
20,2026-05-14T00:40:51.111Z,28.6404647,77.1407242,3.680,station_exit,,40.7,0,Delhi Cantt → Subzi Mandi,0.0,osm_node
21,2026-05-14T00:40:54.814Z,28.6406814,77.1410764,3.722,station_exit,,40.9,0,Delhi Cantt → Subzi Mandi,0.0,osm_node
22,2026-05-14T00:40:58.423Z,28.6408938,77.1414216,3.763,station_exit,,41.2,0,Delhi Cantt → Subzi Mandi,3.9,osm_node
23,2026-05-14T00:41:03.477Z,28.6412215,77.1418839,3.821,station_exit,,41.5,0,Delhi Cantt → Subzi Mandi,6.1,osm_node
24,2026-05-14T00:41:08.307Z,28.6415765,77.1422885,3.877,station_exit,,41.8,0,Delhi Cantt → Subzi Mandi,3.9,osm_node
25,2026-05-14T00:41:12.559Z,28.6419120,77.1426219,3.927,station_exit,,42.0,0,Delhi Cantt → Subzi Mandi,4.1,osm_node
